session_id,uri,title,description,language,speakers,start_time,end_time,room,type,tags
DGJFQ9,https://coscup.org/2025/sessions/DGJFQ9,GKI Kernel: 終結 Android Kernel 的碎片化時代,《GKI Kernel: 終結 Android Kernel 的碎片化時代》 Google 為解決 Android 生態系統長期存在的內核碎片化問題所採取的革命性措施。 GKI（Generic Kernel Image）是一項專注於將 Android 核心從硬體供應商專屬修改中分離的技術創新，旨在實現通用化和模組化的內核架構。 透過 GKI，Google 引入了標準化的內核基底，使設備製造商能在統一框架下實現硬體相容性，同時大幅降低更新與維護的成本與複雜度。這不僅促進了 Android 裝置的更新速度，也提升了用戶的安全性與效能體驗。,Mandarin,C7CJZM,2025-08-09T15:45:00+08:00,2025-08-09T16:15:00+08:00,91,427,"language_zhtw, difficulty_intermediate"
E9UKFQ,https://coscup.org/2025/sessions/E9UKFQ,AI may not imitate Handmake - why sake/wine/craft beer are not make by 'Robots',"AI is getting clever at learning many things; there are very few Sake/Wine/Craft beers made by AI robots. Why AI cannot brew? Masafumi will discuss why they dare NOT use AI through his interviews and help some Sake/Wine breweries with their IT projects - It is like the journey ""Do Androids Dream Of Electric Sheep?""",English,VRBHKF,2025-08-09T14:00:00+08:00,2025-08-09T14:30:00+08:00,91,427,"language_en, difficulty_elementary"
ETRM7R,https://coscup.org/2025/sessions/ETRM7R,Selfhosted Visualizing AI Workflows with LangGraph-GUI & CrewAI-GUI,"AI workflow systems with frameworks like LangGraph and CrewAI often requires deep coding expertise, limiting accessibility for non-developers and slowing prototyping. In this talk, I’ll introduce LangGraph-GUI and CrewAI-GUI, two open-source visual tools that let users design, debug, and deploy LLM workflows.",English,RR3SMW,2025-08-09T11:20:00+08:00,2025-08-09T11:50:00+08:00,85,420,"language_en, difficulty_intermediate"
EXXSLX,https://coscup.org/2025/sessions/EXXSLX,從 Ping值 到圖表，打造專屬於你的網路品質監測系統！,你是否曾經疑惑為什麼網路有時候很慢？或是想知道網路連線的品質到底好不好？我將用最簡單易懂的方式，帶你認識網路監控的世界。 從大家都熟悉的「ping」指令開始，解釋它背後的運作原理，接著介紹更進階的 MTR 工具，讓你能夠追蹤網路封包的完整路徑。然後會帶大家安裝並使用 SmokePing 這個強大的監控工具，學習如何建立自己的網路品質監測系統。 這邊也會介紹我架設網路監控服務的經驗，包括如何看懂那些看起來很複雜的圖表，以及如何從監控數據中發現網路問題。即使你是網路新手，也能透過這場分享學會基本的網路診斷技巧，並了解如何用開源工具來監控網路品質。 這不只是技術分享，更是一個讓你從零開始認識網路監控的友善入門課程。,Mandarin,FDQ9TT,2025-08-10T15:10:00+08:00,2025-08-10T16:00:00+08:00,85,440,"language_zhtw, difficulty_elementary"
FUZSHJ,https://coscup.org/2025/sessions/FUZSHJ,Introduction for Software Defined Vehicle Track,"Will talk about an overview of Automotive Grade Linux(AGL) community and Software Defined Vehicle(SDV). SDV is a generic word, but its meaning is not the same between persons. We should get a common understanding for SDV, that is the starting point of this track. This session shares the definition for 'what is SDV'. AGL is a famous OSS community in the automotive industry. The overview of AGL helps for understanding of SDV. Finally, we share which session to talk about which topics.",English,YUKNFG,2025-08-10T10:00:00+08:00,2025-08-10T10:20:00+08:00,95,410,"language_en, difficulty_elementary"
GGLDEB,https://coscup.org/2025/sessions/GGLDEB,Exposing an Open Source Kernel using an Open Source Database The OSDB Project,"Operating systems must provide functionality that closely resembles that of a database system, but existing query mechanisms are ad-hoc and idiosyncratic. To address this problem, we argue for the adoption of a relational interface to the operating system kernel. While prior work has made similar proposals, our approach is unique in that it allows for incremental adoption over an existing, production-ready operating system. In this paper, we present progress on a prototype system called OSDB that embodies the incremental approach and discuss key aspects of the design, including the data model and concurrency control mechanisms. We present four example use cases: a network usage monitor, a load balancer, file system checker, and network debugging session, as well as experiments that demonstrate the low overhead for our approach.",English,NCDQG7,2025-08-09T10:45:00+08:00,2025-08-09T11:15:00+08:00,79,413,"language_en, difficulty_intermediate"
HQG3RE,https://coscup.org/2025/sessions/HQG3RE,DeepComputing's journey in making RISC-V a reality for developers worldwide,"RISC-V journey to success is going to be a very bumpy road, however the scale is so big if it does succeed therein worth taking any risk. RISC-V is a very powerful brand, the whole world is looking forward to its progress against existing architecture in silicon like 40 years ago Linux kernel against all the close source operating system like Windows or Unix, DeepComputing as a small startup picked the hardest job in from making the world first RISC-V laptop back in 2022 to now this year 2025 one of the most powerful AI PC having 50 TOPS which capable of running most favourable LLM models on the devices. In reality, we have to do a lot of enablements to overcome barriers across the time and space in a sequencial manner. For example, when the end user market is lacking of RISC-V products, we have to take risk to make high profile products: firstly to prove RISC-V is capable even not perfect or even not competitive to current competitors; secondly to enable our whole supply chain knowing all the problems faster and evolve. Moreover, end user product problems will give us enough focus on what to fix and whom to drive for the fix in the most cost effective way. For instance, once we know the first laptop is so slow not just because of hardware but software, then we can focus and proactively work with software partners like kernel, and OS platform and then Applications for the improvement in software ecosystem, for example, in 2024 we successfully convinced Canoncial giving RISC-V more support ever than before on Ubuntu which leads future Ubuntu release could support RISC-V by default on DeepComputing RISC-V hardware. Nevertheless, making personal computing products more interesting can bridging all these platforms to work with SoC guys for further improvement along the technology trend like AI, for example, we convinced world famous modular laptop manufacturer Framework to join RISC-V dance and we DeepComputing can focus on making the RISC-V AI PC mainboard with SoC partners for such a versatile and vibrant AI PC product platform from tablet, desktop to laptop in a very affordable price and making RISC-V able to reach millions of hands. further improvement.",English,SCBFAU,2025-08-10T13:30:00+08:00,2025-08-10T14:00:00+08:00,89,412,"language_en, difficulty_intermediate"
HSRUPX,https://coscup.org/2025/sessions/HSRUPX,AI x Smart Contract : 靜態分析工具做不到的，交給 Prompt Engineering！,隨著項目方對安全意識的提升，合約上鏈前的安全審查需求也隨之增加，審計平台以及相關服務也逐漸多元。然而，現有的靜態分析工具在檢測某些常見漏洞時存在局限性，使得開發者往往在收到審計報告後才發現問題，延長了修復週期並增加成本。此外，這類漏洞在審計競賽或安全平台中經常被歸類為中高風險，可能導致資金損失，進一步強調了提升檢測能力的必要性。 本議程將針對數個上述類型的漏洞，探討對應的 Prompt 漏洞檢測流程，說明如何運用 AI 強化安全審計，並以 slippage minAmountOut 漏洞為例，展示 AI 輔助檢測的實際成效，從而有效優化從開發到審計乃至後續監控的安全生命周期管理。,Mandarin,JLBWXM,2025-08-09T14:50:00+08:00,2025-08-09T15:20:00+08:00,82,426,"language_zhtw, difficulty_intermediate"
JFXFRU,https://coscup.org/2025/sessions/JFXFRU,聲控您的 Home Assistant + LLM 超智能家居！,在這個環節中，Amanda 將向您展示如何在 Home Assistant 中設定大型語言模型（LLM）整合（例如 Google Gemini / Gemma），使其能夠在充分理解上下文的情況下「聆聽」您的口頭對話，並通過智能家居傳感器和互聯網資源，主動提醒您關於個人、家庭和周圍環境層面觸發的事件，這些提醒將以語音通知和儀表板更新的形式呈現，全部採用您所期望的語調和風格。Amanda 還將提供 2024年 在 Github 上擁有最多貢獻者的開源項目 - Home Assistant 項目的最新發展情況。 這是 Amanda 於 2023年 和 2024年 香港開源大會，以及台北 COSCUP 2023年和 2024年所分享過的環節的續篇。,English,YFWTUW,2025-08-09T11:50:00+08:00,2025-08-09T12:20:00+08:00,91,427,"language_en, difficulty_intermediate"
JKKRFA,https://coscup.org/2025/sessions/JKKRFA,釣魚體驗平台 Unphishable ：識破 Web3 詐騙陷阱！,Web3 讓去中心化技術變得流行，但各種釣魚攻擊手法也層出不窮。你知道常見的 Web3 釣魚手法有哪些嗎？你曾經遇過惡意智能合約、假空投網站、Google 搜尋廣告釣魚攻擊嗎？本議程將介紹一個 Web3 釣魚體驗平台，讓參與者在安全的環境下實際體驗各種 Web3 釣魚手法。我們將帶你從技術、社交工程、智能合約等角度解析釣魚攻擊的運作方式，並分享如何防範這些詐騙，提升 Web3 使用者的安全意識！,Mandarin,UWWYLX,2025-08-09T11:20:00+08:00,2025-08-09T11:50:00+08:00,82,426,"language_zhtw, difficulty_elementary"
LEKZSP,https://coscup.org/2025/sessions/LEKZSP,如何宣傳你的 Side Project,這場分享會以我的開源專案: [hardtime.nvim](https://github.com/m4xshen/hardtime.nvim) 為例，談談如何讓一個 side project 從沒人知道，到開始有使用者、貢獻者並在 GitHub 上達到超過三千顆星星。 我會分享我在三個階段的實際做法與心得： - 準備階段：寫好 README、優化 issue template。 - 宣傳階段：如何透過 social media 和 content marketing 宣傳專案。 - 維運階段：如何持續宣傳，以及什麼是 build in public。,Mandarin,TFCCPH,2025-08-09T10:45:00+08:00,2025-08-09T11:15:00+08:00,80,435,"language_zhtw, difficulty_elementary"
MK9KSX,https://coscup.org/2025/sessions/MK9KSX,從 0 成為 Apache Airflow Committer,從未接觸 Data Engineering 的小白 / 資工系大三的學生，如何在 5 個月，以 70+ PR，300 小時的貢獻成為 Apache Airflow Committer。 Apache Airflow 是 Data Engineering 領域最大的開源工具之一，目前在 GitHub 有 39.3k stars。 以輕鬆的角度介紹如何實際投入開源專案，實際開始的心路歷程，還有一些需要注意的眉眉角角。 順便推坑大家一起來寫 Apache Airflow！,Mandarin,B7B7ZY,2025-08-09T10:40:00+08:00,2025-08-09T11:10:00+08:00,85,420,"language_zhtw, difficulty_intermediate"
MKJHK7,https://coscup.org/2025/sessions/MKJHK7,Turning Spare Mini PCs into an Incus Cluster,"Mini PCs naturally multiply. To stay out of the doghouse for your ever-growing collection, let's turn these assorted mini PCs into an Incus Cluster! [Incus](https://linuxcontainers.org/incus/introduction/) is a Linux-based hypervisor for containers and VMs -- think of it like a lighter, funnier cousin of ESXi or Proxmox VE. By clustering spare mini PCs with Incus on your favorite Linux distribution, you can host anything from a robust home lab to redundant home automation, streaming servers, your own personal or family cloud, and much more. No more guilt trips -- now you have perfectly valid reasons to collect even more tiny computers. This session will walk you through the key steps to create your own Incus Cluster, from basic setup to advanced clustering techniques. (Note: Electricity bills -- and excuses to your family -- are your responsibility.)",日本語,HYFL8V,2025-08-09T13:00:00+08:00,2025-08-09T13:30:00+08:00,94,408,"language_jajp, difficulty_advanced"
PTURTS,https://coscup.org/2025/sessions/PTURTS,Better Healthcare tools for everyone!,"The COVID-19 pandemic laid bare systemic inequities in global healthcare, challenging institutions to adapt swiftly to unprecedented demands. This talk chronicles the journey of CARE, a digital healthcare platform developed by the Open Healthcare Network (OHC Network)—a coalition of technologists, medical professionals, and volunteers committed to democratizing healthcare access. What began as an emergency response tool to manage ICU shortages and patient surges has since evolved into a multifaceted system recognized by the United Nations as a Digital Public Good, impacting millions across India and beyond. **The CARE Evolution:** 1. **Pandemic Pioneer:** In COVID-19's peak, CARE became the operational backbone for overwhelmed hospitals, optimizing everything from ICU bed allocation to oxygen supply chains. Its rapid adoption by the Kerala state government proved its real-world value when lives hung in the balance. 2. **Rural ICU Revolution:** As the immediate crisis waned, OHC Network helped support the 10BedICU Project. Today, this initiative brings technology-driven ICU care to India's most remote regions through: - TeleICU services connecting rural clinics with urban specialists - Real-time patient monitoring systems - AI-assisted clinical decision support 3. **Palliative Care Grid**: In Kerala, OHC Network collaborates with the National Health Mission (NHM) and NGOs to pilot a **home-based palliative care model**, using CARE to coordinate telehealth and community health workers. This addresses gaps in geriatric and chronic care, demonstrating the platform’s adaptability . # References - [OHC Network](https://ohc.network) – Official website of the Open Health Care network. - [Kerala Care](https://kerala.care) – Community health platform for Kerala. - [10 Bed ICU](https://10bedicu.in) – Decentralized intensive care infrastructure initiative. - [OHC Network GitHub Video](https://www.youtube.com/watch?v=-wxIzaqvkQA) – Overview of the OHC Network on YouTube.",English,AXJLVH,2025-08-09T14:40:00+08:00,2025-08-09T15:10:00+08:00,77,460,"language_en, difficulty_elementary"
QSXUVK,https://coscup.org/2025/sessions/QSXUVK,Analysing Singapore's Public Housing Prices with Publicly Available Government Data,"Singapore is known for our highly affordable public homes that house more than 80% of our population. However, since COVID-19, there has been growing dissent about the rising public homes prices in Singapore, with catchy headlines of public homes going for more than 1 million Singapore dollars ( approximately 24 million NTD). Using publicly available APIs from our Singapore government, I created several freely available dashboards to help me and any concerned Singapore resident monitor the home prices of our Singapore public housing. In my talk, I will share more about my motivations and approach to creating my dashboards.",English,N3XEJY,2025-08-09T15:15:00+08:00,2025-08-09T15:45:00+08:00,80,435,"language_en, difficulty_elementary"
QXETEB,https://coscup.org/2025/sessions/QXETEB,Using Zephyr in SDV,"Zephyr is an open-source RTOS used in various applications, from hobby electronics to space exploration. Traditional automotive systems are constructed by proprietary RTOS such as OSESK, ITRON, and etc. The standardized HW abstraction layer is required in the RTOS use-case of SDV. Zephyr is the best solution for SDV because it matches this requirement. In this session, we will provide a tutorial to start with Zephyr and explain its characteristics. It aims to share why Zephyr is good for SDV.",English,VFNFLM,2025-08-10T14:00:00+08:00,2025-08-10T14:40:00+08:00,95,410,"language_en, difficulty_elementary"
REL7ST,https://coscup.org/2025/sessions/REL7ST,Weblate: An Awesome FOSS Tool for Localization,"Nowadays, software has played a vital role in how we deal with our daily lives. Users coming from different countries, and having different cultures and languages is a concern especially if they never tried to learn or use the global language English to communicate. To suit their needs and provide a more easier interaction, localization must be done. Here comes Weblate, a Free and Open Source Software Web-based tool for localization. Join this talk and see how Weblate can simplify the localization workflow in your project.",English,GR3DVX,2025-08-09T11:00:00+08:00,2025-08-09T11:30:00+08:00,76,421,"language_en, difficulty_elementary"
RWDAMP,https://coscup.org/2025/sessions/RWDAMP,Let's speak about Accessibility,"Accessibility is not only a concern for UX, it should be at heart for us as Developers as well. Let's (re)discover together how we can our products more accessible and why it even can help you to improve your developer skils.",English,KFSNTA,2025-08-09T14:00:00+08:00,2025-08-09T14:30:00+08:00,77,460,"language_en, difficulty_intermediate"
S3ZHYV,https://coscup.org/2025/sessions/S3ZHYV,Beyond the Blinky LEDs: Teaching How to Think Like Engineers,"Getting into DIY electronics and IoT projects seems easy—just grab a development board, follow a tutorial, and watch the LEDs blink. But reality is messier. Documentation is often incomplete, software libraries fall out of date, and troubleshooting hardware introduces layers of complexity that tutorials don’t always prepare you for. In this talk, I’ll share my experience learning to solder and work with DIY IoT, uncovering the frustrations of supposedly “beginner-friendly” projects—despite being a seasoned software engineer—and offering thoughts on how we should be talking to newcomers. Along the way, I ran into outdated documentation, unresponsive project maintainers, the quirks of the Arduino IDE, and cryptic error messages. These challenges made me rethink how we approach tutorials, documentation, and the learning process itself. How do we balance encouragement with setting realistic expectations? Can we teach people not just to follow instructions, but to think like engineers? This talk is for anyone who has struggled with a DIY project, fought with documentation, or wants to challenge the way we teach problem-solving.",English,UKGMA8,2025-08-09T13:20:00+08:00,2025-08-09T13:50:00+08:00,77,460,"language_en, difficulty_elementary"
S9EALL,https://coscup.org/2025/sessions/S9EALL,探索 W3C 的開放協作模式,W3C 標準是網際網路的重要基石，講者將分享近期參與 W3C Working Group（工作組）的經驗，分享其開放文化之特色，以及在座的各位如何參與從提案到標準的過程。,Mandarin,FW9HYA,2025-08-09T10:00:00+08:00,2025-08-09T10:30:00+08:00,91,427,"language_zhtw, difficulty_elementary"
S9FC3Q,https://coscup.org/2025/sessions/S9FC3Q,OpenStreetMapとWikimediaを組み合わせた、まちづくりの提案と実践,Wikimedia CommonsやOpenStreetMapなどのオープンデータを活用し、地域活動のデジタル化とアーカイブ活動を報告します。 地域資料を将来に残すには信頼性のあるオープンデータプラットフォームが必要で、特にOpenStreetMapとWikimediaプロジェクトの組み合わせが重要です。 これにより、地域の多角的なアーカイブが進み、オープンソースでアートイベントマップなどを提供して地域活動を支援できます。 ITスキルが高くなくても写真や地図を提供でき、地域住民が参加することで一体感を生み出します。 また、オープンデータを活用した子育てや防災マップなど、他の地域活動にも活用可能で、相互協力の仕組みが構築されます。実際に「コミュニティマップメーカー」を開発し、日本での実践結果も報告します。,English,RVTN3T,2025-08-09T11:20:00+08:00,2025-08-09T11:50:00+08:00,94,408,"language_en, difficulty_elementary"
SDR9JU,https://coscup.org/2025/sessions/SDR9JU,Improving Quality through Community-Driven Feedback: Lessons from LibreOffice CJK Users,"In open-source software (OSS), it is important to maintain and improve quality even with limited development resources, in order to meet the needs of users from different languages and cultures. This presentation will cover the bugs and issues faced by CJK and Japanese users of LibreOffice and the community-driven efforts to improve quality. The focus will be on the strategies for collecting, organizing, sharing, and delivering user feedback to the development team. For example, we will discuss how to collect reports using forums, classify them based on reproducibility and impact, visualize them through QA blogs, and bridge linguistic and cultural gaps by translating and summarizing for the development team. These are practical approaches that can be used even with limited resources. Through examples of LibreOffice's overall testing strategy and community-driven quality improvements, this talk will offer insights for those interested in how OSS handles internationalization and addresses regional challenges, with tips that can be applied to other projects.",English,EWEN39,2025-08-10T10:40:00+08:00,2025-08-10T11:10:00+08:00,94,408,"language_en, difficulty_intermediate"
SXNMJS,https://coscup.org/2025/sessions/SXNMJS,Community-Driven Edge AI or Building Offline AI Agents with Open Models,"Dive into building the next generation of Mobile and Web applications featuring Offline AI Agents. This talk explores how to leverage the power of Edge AI and on-device processing using open-source tools to create intelligent agents that operate entirely without an internet connection, enhancing privacy, reducing latency, and enabling new functionalities independent of the cloud. We'll focus on using lightweight, state-of-the-art open models, particularly Google's open Gemma family, which are designed to run efficiently directly on edge devices, potentially leveraging execution frameworks like the open-source MediaPipe (available for both Mobile and Web). Discover how these models form the ""brain"" of our offline agents. We'll showcase practical implementation using Flutter as a primary case study, introducing an open-source plugin (flutter_gemma) (developed by the speaker) designed to seamlessly integrate models like Gemma within this popular cross-platform framework, illustrating principles applicable across platforms. Learn the practical steps to implement these agents: from selecting appropriate on-device model variants (like the latest Gemma models, or popular open alternatives such as Deepseek and Mistral Small) based on task requirements, to integrating them into your application architecture. Using Flutter and the plugin as our concrete example, we will explore techniques for structuring agent tasks and touch upon fine-tuning methods. Crucially, we will discuss the trade-offs involved – weighing the benefits of Edge AI versus traditional cloud-based AI solutions for Mobile and Web. Furthermore, we'll delve into advanced capabilities like on-device Retrieval-Augmented Generation (RAG), enabling agents to query and utilize local data sources entirely offline.",English,38ZMFE,2025-08-10T11:20:00+08:00,2025-08-10T11:50:00+08:00,74,445,"language_en, difficulty_intermediate"
